Package Name,Library Name,Type,Official Website
Lcn/sharesdk/evernote,Mob Share Evernote,Social Network,http://mob.com
Lcn/sharesdk/framework,ShareSDK,Social Network,http://www.mob.com/downloadDetail/ShareSDK/android
Lcn/sharesdk/onekeyshare,Mob one key share,Social Network,http://mob.com/
Lcn/sharesdk/socialization,mob social,Social Network,mob.com
Lcn/sharesdk/tencent,Mob share to tencent,Social Network,http://wiki.mob.com/%E5%88%86%E4%BA%AB%E5%88%B0%E6%8C%87%E5%AE%9A%E5%B9%B3%E5%8F%B0/
Lcn/smssdk,Mob SMS SDK,Development Aid,http://wiki.mob.com/android-%E7%9F%AD%E4%BF%A1sdk%E9%9B%86%E6%88%90%E6%96%87%E6%A1%A3/
Lcn/uc,no,,
Lcn/uc/a,no,,
Lcn/uc/a/a,no,,
Lcn/uc/a/a/a,no,,
Lcn/uc/gamesdk,UC GAME,Game Engine,https://game.open.uc.cn/document/doc/detail/95
Lco,no,,
Lcom,no,,
Lcom/a,no,,
Lcom/a/a,no,,
Lcom/a/a/a,no,,
Lcom/a/c/a,no,,
Lcom/ace,no,,
Lcom/ace/universalimageloader,Universal Image Loader,Development Aid,https://github.com/nostra13/Android-Universal-Image-Loader
Lcom/actionbarsherlock,ActionBarSherlock,Development Aid,http://actionbarsherlock.com/
Lcom/activeandroid,ActiveAndroid,Development Aid,https://github.com/pardom/ActiveAndroid
Lcom/adfonic,Adfonic Mobile Ads,Advertisement,http://www.adfonic.com
Lcom/adjust,no,,
Lcom/adjust/sdk,adjust,Mobile Analytics,https://www.adjust.com/
Lcom/admob,Google Admob,Advertisement,https://www.google.com/admob/
Lcom/adobe,no,,
Lcom/adobe/air,Adobe Air,Development Aid,http://www.adobe.com/cn/devnet/air/air_for_android.html
Lcom/adobe/flashplayer,Adobe FlashPlayer,Development Aid,
Lcom/adobe/flashruntime,Adobe FlashPlayer,Development Aid,
Lcom/adobe/fre,Adobe Air FRE,Development Aid,http://www.adobe.com/cn/devnet/air/air_for_android.html
Lcom/adobe/plugin,Adobe plugin,Development Aid,
Lcom/adobe/xmp,Adobe XMP,Development Aid,http://www.adobe.com/products/xmp.html
Lcom/adsdk,AdSDK,Advertisement,
Lcom/adsmogo,adsmogo,Advertisement,http://www.adsmogo.com/
Lcom/adtech,Adtech,Advertisement,http://www.adtech.com/
Lcom/adwhirl,Adwhirl Ads,Advertisement,https://code.google.com/p/adwhirl/
Lcom/adwo,no,,
Lcom/adwo/adsdk,adwo,Advertisement,http://www.adwo.com/
Lcom/alibaba,no,,
Lcom/alibaba/fastjson,Fastjson,Development Aid,https://github.com/alibaba/fastjson
Lcom/alibaba/mtl,Alibaba MTL,Development Aid,https://doc.open.alipay.com/doc2/detail.htm?treeId=195&articleId=105220&docType=1
Lcom/alimama,no,,
Lcom/alimama/mobile,Alimama Dev,Social Network,http://dev.alimama.com/
Lcom/alipay,Alipay,Payment,https://dev.alipay.com/
Lcom/aliyun,Aliyun,Development Aid,
Lcom/amap,Alibaba Amap,Map/LBS,https://lbs.amap.com/
Lcom/amazon,no,,
Lcom/amazon/ags,Amazon Game Studios,Game Engine,https://games.amazon.com/
Lcom/amazon/device,no,,
Lcom/amazon/device/ads,Amazon Advertisement,Advertisement,https://developer.amazon.com/public/apis/earn/mobile-ads/docs/quick-start
Lcom/amazon/device/associates,Amazon Mobile Associates,Advertisement,https://developer.amazon.com/mobile-associates
Lcom/amazon/device/iap,Amazon In-App Purchasing,Payment,https://developer.amazon.com/public/apis/earn/in-app-purchasing
Lcom/amazon/identity,no,,
Lcom/amazon/identity/auth,Amazon Auth SDK,Development Aid,https://developer.amazon.com/public/apis/engage/login-with-amazon/docs/use_sdk_android.html
Lcom/amazon/inapp,Amazon In-App Purchasing,Payment,https://developer.amazon.com/in-app-purchasing
Lcom/amazon/insights,Amazon Analytics,Mobile Analytics,https://developer.amazon.com/public/apis/manage/analytics/docs/analytics-for-android-fire-os
Lcom/amazonaws,Amazon AWS,Development Aid,http://mvnrepository.com/artifact/com.amazonaws
Lcom/android,no,,
Lcom/android/vending,Google Play,App Market,https://play.google.com
Lcom/android/volley,Volley HTTP library,Development Aid,https://developer.android.com/training/volley/index.html
Lcom/androidplot,Androidplot,Development Aid,http://androidplot.com/
Lcom/androidquery,AndroidQuery,Development Aid,https://github.com/androidquery/androidquery/
Lcom/ansca/corona,Corona,Development Aid,https://docs.coronalabs.com/native/android/html/com/ansca/corona/package-summary.html
Lcom/anzhi,no,,
Lcom/anzhi/market,Anzhi Market,App Market,http://www.anzhi.com/
Lcom/appbrain,Appbrain SDK,Development Aid,https://www.appbrain.com/info/help/sdk/index.html
Lcom/appbyme,Appbyme,Development Framework,http://www.appbyme.com/
Lcom/apperhand,apperhand,Advertisement,
Lcom/appflood,Appflood,Advertisement,http://appflood.com
Lcom/applovin,Applovin,Advertisement,https://www.applovin.com/
Lcom/appmakr,Appmakr,Development Aid,https://www.appmakr.com/
Lcom/appodeal,no,,
Lcom/appodeal/ads,Appodeal Ads,Advertisement,https://www.appodeal.com
Lcom/appquanta,Quanta Sky Ino.,Mobile Analytics,http://www.appquanta.com/
Lcom/appquanta/,Qunta Sky Ino.,Mobile Analytics,http://www.appquanta.com/index.html
Lcom/appsflyer,AppsFlyer,Mobile Analytics,https://www.appsflyer.com/
Lcom/appyet,Appyet,Development Aid,http://www.appyet.com/
Lcom/aps,no,,
Lcom/astuetz,Astuetz Pager Sliding Tab Strip,GUI Component,https://github.com/astuetz
Lcom/auth0/android,Auth0 Android SDK,Utility,https://auth0.com/docs/quickstart/native/android/getting-started
Lcom/auth0/jwt,Java implementation of JSON Web Token (JWT),Development Aid,https://github.com/auth0/java-jwt
Lcom/autonavi,no,,
Lcom/autonavi/aps,no,,
Lcom/autonavi/aps/amapapi,AMAP autonavi API,Map/LBS,https://lbs.amap.com/
Lcom/aviary,Aviary photo editing SDK,Development Aid,https://developers.aviary.com/docs/android
Lcom/avos/avoscloud,,Development Aid,
Lcom/avos/avoscloud/okhttp,Okhttp,Development Aid,
Lcom/b,no,,
Lcom/b/a/a,no,,
Lcom/b/a/a/a,no,,
Lcom/badlogic,badlogic,Game Engine,http://www.badlogicgames.com/
Lcom/baidu,no,,
Lcom/baidu/android,Baidu APP SDK,Development Aid,https://developer.baidu.com/
Lcom/baidu/android/pushservice,baidu push service,Development Aid,https://developer.baidu.com/
Lcom/baidu/appx,Baidu APPX,Advertisement,https://app.baidu.com/
Lcom/baidu/autoupdatesdk,baidu autoupdate sdk,Development Aid,
Lcom/baidu/bdgame,no,,
Lcom/baidu/bdgame/sdk,baidu game,Social Network,http://mgame.baidu.com/
Lcom/baidu/cyberplayer,Baiduyun Android Player,Development Aid,https://cloud.baidu.com/doc/MCT/Android-SDK.html
Lcom/baidu/frontia,Baidu Frontia,Development Aid,
Lcom/baidu/location,Baidu Location,Map/LBS,https://developer.baidu.com/
Lcom/baidu/mapapi,Baidu Map,Map/LBS,http://lbsyun.baidu.com/
Lcom/baidu/mapapi/,Baidu Map,Map/LBS,http://lbsyun.baidu.com/
Lcom/baidu/mobads,Baidu Mobile Ads,Advertisement,https://developer.baidu.com/
Lcom/baidu/mobstat,Baidu Mobile Stat,Mobile Analytics,https://developer.baidu.com/
Lcom/baidu/mtjstatsdk,baidu Stat Android SDK API.,Development Aid,https://mtj.baidu.com/
Lcom/baidu/navi,Baidu Navigation,Map/LBS,http://lbsyun.baidu.com/index.php?title=android-navsdk
Lcom/baidu/navisdk,Baidu Navigation SDK,Map/LBS,http://lbsyun.baidu.com/index.php?title=android-navsdk
Lcom/baidu/paysdk,Baidu Wallet,Payment,https://www.baifubao.com/
Lcom/baidu/platform,Baidu APP SDK,Development Aid,https://developer.baidu.com/
Lcom/baidu/sapi2,Baidu SAPI2,Development Aid,
Lcom/baidu/searchsdk,Baidu Search SDK,Development Aid,https://developer.baidu.com/
Lcom/baidu/tiebasdk,Baidu Tieba SDK,Social Network,http://tieba.baidu.com/tb/zt/tiebaapi/index.html
Lcom/baidu/wallet,Baidu Wallet(baifubao),Payment,https://www.baifubao.com/
Lcom/batch,batch,Mobile Analytics,https://batch.com/doc/
Lcom/bda,no,,
Lcom/bda/controller,MOGAanywhere,Game Engine,http://www.mogaanywhere.com/
Lcom/bea/xml/stream,StAX API,Development Aid,https://jcp.org/en/jsr/detail?id=173
Lcom/biznessapps,biznessapps,Development Aid,https://www.biznessapps.com/
Lcom/bugsense,BugSense,Development Aid,https://github.com/wrapp/bugsense-android
Lcom/bump,Bump pay,Payment,
Lcom/bumptech,no,,
Lcom/bumptech/glide,Glide,Development Aid,https://github.com/bumptech/glide/
Lcom/c,no,,
Lcom/c/a,no,,
Lcom/c/a/a,no,,
Lcom/c/a/a/a,no,,
Lcom/c/a/a/a/a,no,,
Lcom/c/a/a/a/a/a,no,,
Lcom/c/a/b/a,no,,
Lcom/c/a/b/a/a,no,,
Lcom/c/a/b/d,no,,
Lcom/c/a/c,no,,
Lcom/cOoNkCqXw,no,,
Lcom/cOoNkCqXw/anhYjsorr71313,no,,
Lcom/chartboost,no,,
Lcom/chartboost/sdk,ChartBoost,Advertisement,http://www.chartboost.com/
Lcom/chineseall/reader,chineseall reader,Development Aid,
Lcom/commonsware/cwac/merge,CommonsWare MergeAdapter,Development Aid,https://github.com/commonsguy/cwac-merge
Lcom/commonsware/cwac/sacklist,CommonsWare SackOfViewsAdapter,Development Aid,https://github.com/commonsguy/cwac-sacklist
Lcom/comscore,comscore,Mobile Analytics,https://www.comscore.com/
Lcom/conduit/app,Conduit App,Development Aid,http://apps.conduit.com/
Lcom/coolcloud,no,,
Lcom/coolcloud/uac,no,,
Lcom/coolcloud/uac/android,Coolyun UAC,Development Aid,https://www.coolyun.com/
Lcom/coremedia/iso,ISO Parser,Development Aid,
Lcom/crashlytics/android,Crashlytics,Mobile Analytics,http://try.crashlytics.com
Lcom/crowdcompass,crowdcompass,Development Aid,https://www.crowdcompass.com/
Lcom/daggertech,Dagger Tech,Development Aid,
Lcom/daimajia/androidanimations,AndroidAnimations Library,GUI Component,https://github.com/daimajia/AndroidViewAnimations
Lcom/data,no,,
Lcom/db4o,db4o,Development Aid,https://github.com/mohataher/db4o-android
Lcom/deploygate,com/deploygate,Development Aid,https://deploygate.com/
Lcom/digits/sdk/vcard,Digits,Mobile Analytics,https://fabric.io/kits/android/digits/summary
Lcom/doapps,doapps,Development Aid,http://www.doapps.com/
Lcom/dobao,com/dobao,Development Aid,
Lcom/dropbox,no,,
Lcom/dropbox/client2,Dropbox Java SDK,Utility,https://github.com/gini/dropbox-java-sdk
Lcom/duoku,no,,
Lcom/duoku/platform,duoku(Baidu Mobile Game Platform),Social Network,http://www.duoku.com.cn/
Lcom/e,no,,
Lcom/e/a,no,,
Lcom/easemob/,Huanxin,Development Aid,http://www.easemob.com/
Lcom/esotericsoftware,Esoteric Software 2D,Development Aid,https://github.com/EsotericSoftware
Lcom/espian/showcaseview,Espian ShowcaseView,GUI Component,https://github.com/arianvp/ShowcaseView
Lcom/everyplay,Everyplay,Game Engine,https://everyplay.com/
Lcom/external,no,,
Lcom/f,no,,
Lcom/f/a,no,,
Lcom/facebook,Facebook,Social Network,https://developers.facebook.com
Lcom/fasterxml,Fasterxml,Utility,http://fasterxml.com/
Lcom/flurry,no,,
Lcom/flurry/android,Flurry,Mobile Analytics,https://flurry.com
Lcom/flurry/org,Flurry,Mobile Analytics,https://flurry.com
Lcom/flurry/sdk,Flurry SDK,Mobile Analytics,https://developer.yahoo.com
Lcom/fyber,Fyber,Advertisement,https://www.fyber.com/
Lcom/g6677/spread,no,,
Lcom/github,Github,Development Aid,https://github.com/
Lcom/goodbarber,goodbarber,Development Framework,http://www.goodbarber.com/
Lcom/google,no,,
Lcom/google/a,no,,
Lcom/google/a/b,no,,
Lcom/google/a/b/a,no,,
Lcom/google/a/b/a/a,no,,
Lcom/google/ads,Google Ads,Advertisement,https://www.google.com/ads/
Lcom/google/analytics,Google Analytics,Mobile Analytics,https://www.google.com/analytics/
Lcom/google/android,no,,
Lcom/google/android/a,no,,
Lcom/google/android/apps/dashclock/api,DashClock API,Development Aid,http://api.dashclock.com/reference/com/google/android/apps/dashclock/api/package-summary.html
Lcom/google/android/exoplayer,ExoPlayer,Development Aid,https://github.com/google/ExoPlayer
Lcom/google/android/gcm,Google GCM,Development Aid,https://developers.google.com/cloud-messaging/
Lcom/google/android/gms,Google Mobile Services,Development Aid,https://developers.google.com/android/reference/com/google/android/gms/package-summary
Lcom/google/android/net,Google Android Net,Development Aid,http://developer.android.com/reference/android/net/package-summary.html
Lcom/google/android/vending,Google Play,App Market,https://play.google.com
Lcom/google/android/youtube,no,,
Lcom/google/android/youtube/player,YouTube Android Player API,Development Aid,https://developers.google.com/youtube/android/player/
Lcom/google/api,no,,
Lcom/google/api/client,Google API Client Libraries,Development Framework,https://developers.google.com/api-client-library/java/
Lcom/google/appinventor,Google Appinventor,Development Aid,https://code.google.com/p/app-inventor-for-android/
Lcom/google/common,Google Core Libraries for Java 6+,Development Aid,https://github.com/google/guava
Lcom/google/firebase,Firebase,Development Aid,http://firebase.com
Lcom/google/gdata,Google GData,Development Aid,https://developers.google.com/gdata/
Lcom/google/gson,Google Gson,Development Aid,https://github.com/google/gson
Lcom/google/i18n,Google Internationalization,Development Aid,https://developers.google.com/international/
Lcom/google/inject,Guice,Development Aid,https://github.com/google/guice
Lcom/google/maps/android,Google Maps Utils,Map/LBS,https://github.com/googlemaps/android-maps-utils
Lcom/google/protobuf,Google Protocol Buffers,Development Aid,https://github.com/google/protobuf
Lcom/google/tagmanager,Google Tag Manager,Mobile Analytics,https://www.google.com/analytics/tag-manager/
Lcom/google/thirdparty,Google Core Libraries (3rd Party),Development Aid,https://github.com/google/guava
Lcom/google/zxing,ZXing ('Zebra Crossing'),Development Aid,https://github.com/zxing/zxing
Lcom/googlecode/apdfviewer,Google Docs PDF Viewer,Development Aid,https://code.google.com/p/apdfviewer/source/browse/trunk/src/com/googlecode/apdfviewer/?r=3
Lcom/handmark/pulltorefresh,pulltorefresh,GUI Component,https://github.com/chrisbanes/Android-PullToRefresh
Lcom/heyzap,Heyzap,Development Aid,https://www.heyzap.com
Lcom/huawei,no,,
Lcom/huawei/android,Huawei Android SDK,Development Aid,http://developer.huawei.com/
Lcom/huawei/ecs,Huawei ECS,Utility,https://www.hwclouds.com/en-us/product/ecs.html
Lcom/huntmads,HUNT Mobile Ads,Advertisement,http://www.huntmads.com/
Lcom/iapppay,Iapppay,Payment,https://www.iapppay.com/
Lcom/ibm,no,,
Lcom/ibm/icu,International Components for Unicode,Utility,https://www-01.ibm.com/software/globalization/icu/
Lcom/idddx,no,,
Lcom/idddx/sdk,no,,
Lcom/idddx/sdk/dynamic,no,,
Lcom/idddx/sdk/dynamic/service,no,,
Lcom/idddx/sdk/dynamic/service/thrift,no,,
Lcom/iflytek,xunfei,Development Framework,http://www.xfyun.cn/
Lcom/iflytek/speech,iflyteck speech,Development Aid,
Lcom/iflytek/speech/aidl,iflytek speech,Development Aid,https://www.xfyun.cn/doccenter/tts
Lcom/iflytek/sunflower,Xunfei(iflytek) Voice,Development Framework,
Lcom/iflytek/thirdparty,Iflytek Thirdparty,Development Aid,https://www.xfyun.cn/sdk/dispatcher
Lcom/igaworks,igaworks,Advertisement,http://www.igaworks.com/en/index.html
Lcom/igexin,getui,Development Aid,http://www.getui.com/cn/index.html
Lcom/immersion,no,,
Lcom/immersion/hapticmediasdk,Immersion TouchSense SDK,Development Aid,https://www.immersion.com/products-services/software-development-kit-for-mobile-games/
Lcom/inmobi,Inmobi,Advertisement,http://inmobi.com
Lcom/inneractive,Inneractive,Advertisement,http://inner-active.com/
Lcom/ironsource,IronSource,Development Aid,http://www.ironsrc.com
Lcom/iwanvi,ZhongWenWanwei Reader,Development Aid,http://www1.iwanvi.com/
Lcom/j256,J256,Development Aid,https://github.com/j256/ormlite-android
Lcom/jakewharton/disklrucache,Disk LRU Cache,Development Aid,https://github.com/JakeWharton/DiskLruCache
Lcom/jakewharton/disklrucache/,Disk LRU Cache,Development Aid,https://github.com/JakeWharton/DiskLruCache
Lcom/jasonkostempski,Jasonkostempski,Development Aid,https://github.com/jasonkostempski/
Lcom/jayway,no,,
Lcom/jayway/jsonpath,JsonPath,Development Aid,https://github.com/jayway/JsonPath
Lcom/jcodecraeer/xrecyclerview/progressindicator,no,,
Lcom/jcodecraeer/xrecyclerview/progressindicator/indicator,XRecyclerView (pull to refresh),Development Aid,https://github.com/jianghejie/XRecyclerView
Lcom/jcraft/jsch,Java Secure Channel,Development Aid,http://www.jcraft.com/jsch/
Lcom/jirbo,no,,
Lcom/jirbo/adcolony,Jirbo,Development Aid,http://www.jirbo.com/
Lcom/jiubang/commerce,no,,
Lcom/jumptap,jumptap,Advertisement,http://jumptap.com/
Lcom/kakao/talk,Kakao,Social Network,https://developers.kakao.com/
Lcom/kbeanie,no,,
Lcom/kbeanie/imagechooser,image chooser library,Development Aid,https://github.com/coomar2841/image-chooser-library
Lcom/koushikdutta/async,AndroidAsync,Development Aid,https://github.com/koush/AndroidAsync
Lcom/kuguo/ad,kuguo Advertisement SDK,Advertisement,
Lcom/leadbolt,Leadbolt,Development Aid,https://www.leadbolt.com/
Lcom/lenovo,no,,
Lcom/lenovo/lps,Lenovo LPS,Development Aid,
Lcom/letv/adlib,Letv Advertisement Library,Advertisement,
Lcom/letv/datastatistics,Letv Data Statistics,Mobile Analytics,
Lcom/letv/lepaysdk,Letv pyment,Payment,
Lcom/letv/sdk,Letv SDK,Utility,
Lcom/letvcloud,Letv Cloud,Utility,http://www.lecloud.com/
Lcom/lib,no,,
Lcom/lidroid,no,,
Lcom/lidroid/xutils,xUtils,Development Aid,https://github.com/wyouflf/xUtils
Lcom/loc,no,,
Lcom/loopj,Loopj,Development Aid,https://github.com/loopj/android-async-http
Lcom/madhouse/android,no,,
Lcom/madhouse/android/ads,Madhouse Inc Ads,Advertisement,http://www.madhouse.cn/
Lcom/magook,no,,
Lcom/magtab,Magtab,Development Aid,https://www.magtab.com/
Lcom/mashape/relocation,Mashape Relocation API,Development Aid,
Lcom/maximono,Maximono,Social Network,http://maximono.com
Lcom/meitu/android/trivialdrivesample,no,,
Lcom/melnykov,no,,
Lcom/melnykov/fab,FloatingActionButton,GUI Component,https://github.com/makovkastar/FloatingActionButton/
Lcom/milkmangames/extensions/android/coremobile,Milkman plugins,Development Aid,https://www.milkmanplugins.com
Lcom/millennialmedia,millennialmedia,Advertisement,http://www.millennialmedia.com/
Lcom/mindprod/ledatastream,LEDataStream,Development Aid,http://mindprod.com/products1.html
Lcom/mob,no,,
Lcom/mob/commons,mob share,Social Network,mob.com
Lcom/mob/tools,Mob Tools,Development Aid,http://www.mob.com/
Lcom/mobcent,MobCent,Social Network,http://www.baike.com/wiki/%E6%91%A9%E8%AE%AF%E7%A7%91%E6%8A%80
Lcom/mobclick,no,,
Lcom/mobclick/android,Umeng Click Analysis,Mobile Analytics,https://www.umeng.com/
Lcom/mobeta,Mobeta ListView,GUI Component,https://github.com/bauerca/drag-sort-listview
Lcom/mobfox,mobfox,Development Aid,http://www.mobfox.com/
Lcom/mobisage,no,,
Lcom/mobisage/android,Mobisage(adSage),Advertisement,http://www.adsage.com/
Lcom/mongodb,mongoDB,Development Aid,http://mongodb.github.io/mongo-java-driver/2.13/getting-started/quick-tour/
Lcom/mopub,MoPub,Advertisement,http://www.mopub.com
Lcom/my/target/core,no,,
Lcom/my/target/core/ui,no,,
Lcom/my/target/core/ui/views,no,,
Lcom/myappengine,myappengine,Game Engine,https://appengine.google.com/
Lcom/myshare,no,,
Lcom/myshare/dynamic,Mob Share Dynamic,Social Network,http://mob.com
Lcom/naef,no,,
Lcom/naef,no,,
Lcom/naef/jnlua,jnlua,Development Aid,Java Lua
Lcom/nd,no,,
Lcom/nd/dianjin,Dianjin Advertisement,Advertisement,http://www.devstore.cn/service/serviceDetail/428.html
Lcom/neatplug,no,,
Lcom/neatplug/u3d/plugins,NeatPlug Unity3d Plugins,Development Aid,https://neatplug.com/
Lcom/nerd/TapdaqUnityPlugin,TapDaq Unity Plugin,Utility,https://github.com/tapdaq/unity-plugin
Lcom/netease,no,,
Lcom/netease/nim,Netease IM SDK,Utility,https://github.com/netease-im/NIM_Android_SDK
Lcom/netease/ntespm,no,,
Lcom/newrelic,newrelic,Development Aid,https://newrelic.com/
Lcom/ngpinc/,ngpinc:National Guard Products,Mobile Analytics,http://www.ngpinc.com/
Lcom/nhaarman/listviewanimations,ListViewAnimations,Development Aid,https://github.com/nhaarman/ListViewAnimations
Lcom/nineoldandroids,Nine Old Androids,Development Aid,https://github.com/JakeWharton/NineOldAndroids
Lcom/nokia,no,,
Lcom/nokia/payment,no,,
Lcom/nokia/payment/iap,Nokia In-App Payment,Payment,http://developer.nokia.com/?p=932370&s=e0f3a2d5a412162fe5a577cfb660a309
Lcom/nostra13,Nostra13 Image Loading,Development Aid,https://github.com/nostra13/Android-Universal-Image-Loader
Lcom/nuance,Nuance Speech Kit Library,Development Aid,https://nuance.com/
Lcom/nv/support/pulltorefresh,pulltorefresh,GUI Component,
Lcom/onbarcode,onbarcode,Development Aid,http://www.onbarcode.com/
Lcom/openfeint,OpenFeint,Game Engine,
Lcom/outlinegames,Outline Games,Payment,http://www.outlinegames.com
Lcom/papaya,Papaya,Development Aid,http://en.papayamobile.com/
Lcom/parse,Parse.com,Mobile Analytics,https://parse.com/docs/cn/android/guide
Lcom/path/android/jobqueue,Android Priority Job Queue,Development Aid,https://github.com/path/android-priority-jobqueue
Lcom/paypal,PayPal,Payment,https://developer.paypal.com/docs/integration/mobile/android-integration-guide/
Lcom/phonegap,PhoneGap,Development Aid,http://phonegap.com/
Lcom/playhaven,PlayHaven Mobile Ads,Advertisement,http://www.playhaven.com/
Lcom/pocketchange/,pocketchange,Payment,http://www.pocketchange.com/
Lcom/polites,GestureImageView polites.com,GUI Component,https://polites.com
Lcom/pollfish,Pollfish,Development Aid,https://www.pollfish.com/
Lcom/prime31,prime[31],Development Aid,https://prime31.com
Lcom/purplebrain/adbuddiz,AdBuddiz,Advertisement,https://www.adbuddiz.com
Lcom/qihoo,no,,
Lcom/qihoo/gamecenter,no,,
Lcom/qihoo/gamecenter/sdk,Qihoo 360 Gamecenter,Social Network,http://wan.360.cn/
Lcom/qihoo/psdk,Qihoo push,Development Aid,http://dev.360.cn/
Lcom/qihoo/stat,Qihoo Stat,Development Aid,http://dev.360.cn/
Lcom/qihoopp,no,,
Lcom/qihoopp/framework,QihooPP Framework,Development Framework,http://dev.360.cn
Lcom/qihoopp/qcoinpay,Qihoo 360 Qcoinpay,Payment,https://pay.360.cn/index/mobile
Lcom/qmoney,no,,
Lcom/qmoney/ui,Qmoney,Payment,
Lcom/qoppa,Qoppa Software,Development Aid,https://www.qoppa.com/
Lcom/qwapi,qwapi,Development Aid,
Lcom/radiusnetworks,Radius Networks,Development Aid,http://www.radiusnetworks.com
Lcom/readystatesoftware,no,,
Lcom/readystatesoftware/sqliteasset,Android SQLiteAssetHelper,Utility,https://github.com/jgilfelt/android-sqlite-asset-helper
Lcom/renn,no,,
Lcom/renn/rennsdk,renren sdk,Development Aid,http://open.renren.com/wiki/SDK2/androidsdk
Lcom/revmob,Revmob,Advertisement,https://www.revmobmobileadnetwork.com/
Lcom/samsung/spen,Samsung Spen,GUI Component,https://developer.samsung.com/galaxy
Lcom/scoreloop,Scoreloop Game,Game Engine,
Lcom/sec,no,,
Lcom/sec/android,no,,
Lcom/sec/android/iap,Samsung In-App Purchase,Payment,http://developer.samsung.com/iap
Lcom/shengliwang,no,,
Lcom/shengliwang/CarLogo,no,,
Lcom/sina,no,,
Lcom/sina/a,no,,
Lcom/sina/sso,Sina SSO,Social Network,http://open.weibo.com/
Lcom/sina/weibo,Weibo,Social Network,http://weibo.com/
Lcom/skplanet,skplanet,Development Aid,http://www.skplanet.com
Lcom/slidingmenu,SlidingMenu,GUI Component,https://github.com/jfeinstein10/SlidingMenu
Lcom/smaato,Smaato,Advertisement,https://www.smaato.com/
Lcom/spoledge,Spoledge AAC Decoder,Development Aid,https://code.google.com/p/aacdecoder-android/
Lcom/sponsorpay,Fyber(SponsorPay),Advertisement,http://www.sponsorpay.com
Lcom/squareup,no,,
Lcom/squareup/okhttp,OkHttp,Development Aid,https://github.com/square/okhttp
Lcom/squareup/otto,otto,Development Aid,http://square.github.io/otto/
Lcom/squareup/picasso,picasso,Development Aid,https://github.com/square/picasso
Lcom/squareup/pollexor,pollexor,Development Aid,http://square.github.io/pollexor/
Lcom/squareup/seismic,Seismic,Utility,https://github.com/square/seismic
